starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 15 01:57:40 2021	1618451860	0	5	5	0
Thu Apr 15 01:57:40 2021	1618451860	5	7	12	7
Thu Apr 15 01:57:40 2021	1618451860	5	7	12	6
Thu Apr 15 01:57:40 2021	1618451860	6	7	13	6
Thu Apr 15 01:57:40 2021	1618451860	6	7	13	6
Thu Apr 15 01:57:40 2021	1618451860	6	7	13	5
Thu Apr 15 01:57:40 2021	1618451860	7	7	14	5
Thu Apr 15 01:57:40 2021	1618451860	7	7	14	5
Thu Apr 15 01:57:40 2021	1618451860	7	7	14	5
Thu Apr 15 01:57:40 2021	1618451860	7	7	14	5
Thu Apr 15 01:57:40 2021	1618451860	7	7	14	5
Thu Apr 15 01:57:40 2021	1618451860	7	7	15	5
Thu Apr 15 01:57:40 2021	1618451860	7	7	15	7
Thu Apr 15 01:57:40 2021	1618451860	7	8	15	7
Thu Apr 15 01:57:40 2021	1618451860	7	8	15	7
Thu Apr 15 01:57:40 2021	1618451860	7	8	15	7
Thu Apr 15 01:57:40 2021	1618451860	7	8	15	7
Thu Apr 15 01:57:40 2021	1618451860	7	8	15	7
Thu Apr 15 01:57:40 2021	1618451860	7	8	15	7
Thu Apr 15 01:57:40 2021	1618451860	7	8	15	7
Thu Apr 15 01:57:40 2021	1618451860	7	8	16	8
Thu Apr 15 01:57:40 2021	1618451860	7	8	16	8
Thu Apr 15 01:57:40 2021	1618451860	7	8	16	8
Thu Apr 15 01:57:40 2021	1618451860	7	8	16	8
Thu Apr 15 01:57:40 2021	1618451860	7	10	17	10
Thu Apr 15 01:57:40 2021	1618451860	7	10	17	10
Thu Apr 15 01:57:40 2021	1618451860	7	10	17	10
Thu Apr 15 01:57:40 2021	1618451860	7	10	17	10
Thu Apr 15 01:57:40 2021	1618451860	7	10	17	10
Thu Apr 15 01:57:40 2021	1618451860	7	10	17	10
Thu Apr 15 01:57:40 2021	1618451860	7	10	17	10
Thu Apr 15 01:57:40 2021	1618451860	7	11	18	11
Thu Apr 15 01:57:40 2021	1618451860	7	11	18	11
Thu Apr 15 01:57:40 2021	1618451860	7	11	18	11
Thu Apr 15 01:57:40 2021	1618451860	7	12	19	11
Thu Apr 15 01:57:40 2021	1618451860	7	12	19	11
Thu Apr 15 01:57:40 2021	1618451860	7	12	19	12
Thu Apr 15 01:57:40 2021	1618451860	7	12	20	12
Thu Apr 15 01:57:40 2021	1618451860	7	13	20	12
Thu Apr 15 01:57:40 2021	1618451860	7	13	21	13
Thu Apr 15 01:57:40 2021	1618451860	7	13	21	13
Thu Apr 15 01:57:40 2021	1618451860	7	14	21	13
Thu Apr 15 01:57:40 2021	1618451860	7	14	21	14
Thu Apr 15 01:57:40 2021	1618451860	7	15	22	14
Thu Apr 15 01:57:40 2021	1618451860	7	15	22	14
Thu Apr 15 01:57:40 2021	1618451860	7	15	22	15
Thu Apr 15 01:57:40 2021	1618451860	7	15	23	15
Thu Apr 15 01:57:40 2021	1618451860	7	16	23	15
Thu Apr 15 01:57:40 2021	1618451860	7	16	23	15
Thu Apr 15 01:57:40 2021	1618451860	7	16	23	15
Thu Apr 15 01:57:40 2021	1618451860	7	16	23	16
Thu Apr 15 01:57:40 2021	1618451860	7	17	24	16
Thu Apr 15 01:57:40 2021	1618451860	7	17	24	16
