starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 15 01:57:22 2021	1618451842	0	5	5	0
Thu Apr 15 01:57:22 2021	1618451842	5	4	9	4
Thu Apr 15 01:57:22 2021	1618451842	5	4	9	4
Thu Apr 15 01:57:22 2021	1618451842	5	4	10	4
Thu Apr 15 01:57:22 2021	1618451842	5	4	10	4
Thu Apr 15 01:57:22 2021	1618451842	6	4	10	4
Thu Apr 15 01:57:22 2021	1618451842	6	4	10	3
Thu Apr 15 01:57:22 2021	1618451842	6	4	10	3
Thu Apr 15 01:57:22 2021	1618451842	6	4	10	3
Thu Apr 15 01:57:22 2021	1618451842	6	4	10	3
Thu Apr 15 01:57:22 2021	1618451842	6	4	10	3
Thu Apr 15 01:57:22 2021	1618451842	6	4	10	4
Thu Apr 15 01:57:22 2021	1618451842	6	4	10	4
Thu Apr 15 01:57:22 2021	1618451842	6	4	11	4
Thu Apr 15 01:57:22 2021	1618451842	6	4	11	4
Thu Apr 15 01:57:22 2021	1618451842	6	5	11	4
Thu Apr 15 01:57:22 2021	1618451842	6	5	11	4
Thu Apr 15 01:57:22 2021	1618451842	6	5	11	4
Thu Apr 15 01:57:22 2021	1618451842	6	5	11	4
Thu Apr 15 01:57:22 2021	1618451842	6	5	11	4
Thu Apr 15 01:57:22 2021	1618451842	6	5	11	4
Thu Apr 15 01:57:22 2021	1618451842	6	5	11	5
Thu Apr 15 01:57:22 2021	1618451842	6	5	12	5
Thu Apr 15 01:57:22 2021	1618451842	6	5	12	5
Thu Apr 15 01:57:22 2021	1618451842	6	6	12	5
Thu Apr 15 01:57:22 2021	1618451842	6	6	12	5
Thu Apr 15 01:57:22 2021	1618451842	6	6	12	5
Thu Apr 15 01:57:22 2021	1618451842	6	6	12	5
Thu Apr 15 01:57:22 2021	1618451842	6	6	12	5
Thu Apr 15 01:57:22 2021	1618451842	6	6	12	5
Thu Apr 15 01:57:22 2021	1618451842	6	6	12	5
Thu Apr 15 01:57:22 2021	1618451842	6	6	12	6
Thu Apr 15 01:57:22 2021	1618451842	6	6	12	6
Thu Apr 15 01:57:22 2021	1618451842	6	6	13	6
Thu Apr 15 01:57:22 2021	1618451842	6	7	13	6
