starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 15 01:57:31 2021	1618451851	0	5	5	0
Thu Apr 15 01:57:31 2021	1618451851	5	6	11	6
Thu Apr 15 01:57:31 2021	1618451851	5	6	11	5
Thu Apr 15 01:57:31 2021	1618451851	6	6	12	5
Thu Apr 15 01:57:31 2021	1618451851	6	6	12	5
Thu Apr 15 01:57:31 2021	1618451851	6	6	12	5
Thu Apr 15 01:57:31 2021	1618451851	6	6	13	4
Thu Apr 15 01:57:31 2021	1618451851	6	6	13	4
Thu Apr 15 01:57:31 2021	1618451851	7	6	13	4
Thu Apr 15 01:57:31 2021	1618451851	7	6	13	4
Thu Apr 15 01:57:31 2021	1618451851	7	6	14	4
Thu Apr 15 01:57:31 2021	1618451851	7	6	14	6
Thu Apr 15 01:57:31 2021	1618451851	7	7	14	6
Thu Apr 15 01:57:31 2021	1618451851	7	7	14	6
Thu Apr 15 01:57:31 2021	1618451851	7	7	14	6
Thu Apr 15 01:57:31 2021	1618451851	7	7	14	6
Thu Apr 15 01:57:31 2021	1618451851	7	7	14	6
Thu Apr 15 01:57:31 2021	1618451851	7	8	15	6
Thu Apr 15 01:57:31 2021	1618451851	7	8	15	6
Thu Apr 15 01:57:31 2021	1618451851	7	8	15	6
Thu Apr 15 01:57:31 2021	1618451851	7	8	15	6
Thu Apr 15 01:57:31 2021	1618451851	7	8	15	8
Thu Apr 15 01:57:31 2021	1618451851	7	8	15	8
Thu Apr 15 01:57:31 2021	1618451851	7	8	15	8
Thu Apr 15 01:57:31 2021	1618451851	7	8	15	8
Thu Apr 15 01:57:31 2021	1618451851	7	8	15	8
Thu Apr 15 01:57:31 2021	1618451851	7	8	15	8
Thu Apr 15 01:57:31 2021	1618451851	7	9	16	9
Thu Apr 15 01:57:31 2021	1618451851	7	9	17	9
Thu Apr 15 01:57:31 2021	1618451851	7	9	17	9
Thu Apr 15 01:57:31 2021	1618451851	7	10	17	10
Thu Apr 15 01:57:31 2021	1618451851	7	10	17	10
Thu Apr 15 01:57:31 2021	1618451851	7	11	18	10
Thu Apr 15 01:57:31 2021	1618451851	7	11	18	10
Thu Apr 15 01:57:31 2021	1618451851	7	11	18	10
Thu Apr 15 01:57:31 2021	1618451851	7	11	18	11
Thu Apr 15 01:57:31 2021	1618451851	7	12	19	11
Thu Apr 15 01:57:31 2021	1618451851	7	12	19	11
Thu Apr 15 01:57:31 2021	1618451851	7	12	19	12
Thu Apr 15 01:57:31 2021	1618451851	7	12	20	12
Thu Apr 15 01:57:31 2021	1618451851	7	13	20	13
Thu Apr 15 01:57:31 2021	1618451851	7	13	20	12
Thu Apr 15 01:57:31 2021	1618451851	7	13	20	13
Thu Apr 15 01:57:31 2021	1618451851	7	14	21	13
Thu Apr 15 01:57:31 2021	1618451851	7	14	21	13
Thu Apr 15 01:57:31 2021	1618451851	7	14	21	13
Thu Apr 15 01:57:31 2021	1618451851	7	14	21	13
Thu Apr 15 01:57:31 2021	1618451851	7	14	21	14
Thu Apr 15 01:57:31 2021	1618451851	7	15	22	14
Thu Apr 15 01:57:31 2021	1618451851	7	15	22	14
Thu Apr 15 01:57:31 2021	1618451851	7	15	23	15
Thu Apr 15 01:57:31 2021	1618451851	7	16	23	15
Thu Apr 15 01:57:31 2021	1618451851	7	16	23	15
Thu Apr 15 01:57:31 2021	1618451851	7	16	23	15
Thu Apr 15 01:57:31 2021	1618451851	7	16	23	15
Thu Apr 15 01:57:31 2021	1618451851	7	16	23	16
Thu Apr 15 01:57:31 2021	1618451851	7	17	24	16
Thu Apr 15 01:57:31 2021	1618451851	7	17	24	17
Thu Apr 15 01:57:31 2021	1618451851	7	17	24	17
Thu Apr 15 01:57:31 2021	1618451851	7	17	25	17
Thu Apr 15 01:57:31 2021	1618451851	7	18	25	17
Thu Apr 15 01:57:31 2021	1618451851	7	18	25	18
Thu Apr 15 01:57:31 2021	1618451851	7	18	25	17
Thu Apr 15 01:57:31 2021	1618451851	7	18	25	18
