starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 15 01:38:56 2021	1618450736	7	29	35	29
Thu Apr 15 01:38:56 2021	1618450736	7	29	36	29
Thu Apr 15 01:38:56 2021	1618450736	7	29	36	29
Thu Apr 15 01:38:56 2021	1618450736	7	29	36	29
Thu Apr 15 01:38:56 2021	1618450736	7	30	36	29
Thu Apr 15 01:38:56 2021	1618450736	7	30	37	30
Thu Apr 15 01:38:56 2021	1618450736	7	30	37	30
Thu Apr 15 01:38:56 2021	1618450736	7	31	37	30
Thu Apr 15 01:38:56 2021	1618450736	7	31	37	30
Thu Apr 15 01:38:56 2021	1618450736	7	31	38	31
Thu Apr 15 01:38:56 2021	1618450736	7	31	38	31
Thu Apr 15 01:38:56 2021	1618450736	7	31	38	31
Thu Apr 15 01:38:56 2021	1618450736	7	32	39	32
Thu Apr 15 01:38:56 2021	1618450736	7	32	39	32
Thu Apr 15 01:38:56 2021	1618450736	7	33	39	32
Thu Apr 15 01:38:56 2021	1618450736	7	33	39	32
Thu Apr 15 01:38:56 2021	1618450736	7	33	39	32
Thu Apr 15 01:38:56 2021	1618450736	7	33	40	33
Thu Apr 15 01:38:56 2021	1618450736	7	33	40	33
Thu Apr 15 01:38:56 2021	1618450736	7	34	40	33
Thu Apr 15 01:38:56 2021	1618450736	7	34	40	33
Thu Apr 15 01:38:56 2021	1618450736	7	34	41	33
Thu Apr 15 01:38:56 2021	1618450736	7	34	41	34
Thu Apr 15 01:38:56 2021	1618450736	7	35	41	34
Thu Apr 15 01:38:56 2021	1618450736	7	35	42	34
Thu Apr 15 01:38:56 2021	1618450736	7	35	42	35
Thu Apr 15 01:38:56 2021	1618450736	7	36	42	35
Thu Apr 15 01:38:56 2021	1618450736	7	36	42	35
Thu Apr 15 01:38:56 2021	1618450736	7	36	42	35
Thu Apr 15 01:38:56 2021	1618450736	7	36	43	36
Thu Apr 15 01:38:56 2021	1618450736	7	36	43	36
Thu Apr 15 01:38:56 2021	1618450736	7	36	43	36
Thu Apr 15 01:38:56 2021	1618450736	7	37	44	37
Thu Apr 15 01:38:56 2021	1618450736	7	37	44	37
Thu Apr 15 01:38:56 2021	1618450736	7	37	44	37
Thu Apr 15 01:38:56 2021	1618450736	7	38	44	37
Thu Apr 15 01:38:56 2021	1618450736	7	38	45	38
Thu Apr 15 01:38:56 2021	1618450736	7	38	45	38
Thu Apr 15 01:38:56 2021	1618450736	7	39	45	38
Thu Apr 15 01:38:56 2021	1618450736	7	39	45	38
Thu Apr 15 01:38:56 2021	1618450736	7	39	45	38
Thu Apr 15 01:38:56 2021	1618450736	7	39	46	38
Thu Apr 15 01:38:56 2021	1618450736	7	40	46	39
