starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 15 01:38:47 2021	1618450727	0	7	7	2
Thu Apr 15 01:38:47 2021	1618450727	5	7	13	7
Thu Apr 15 01:38:47 2021	1618450727	6	7	13	7
Thu Apr 15 01:38:47 2021	1618450727	6	7	13	6
Thu Apr 15 01:38:47 2021	1618450727	6	7	13	6
Thu Apr 15 01:38:47 2021	1618450727	6	7	14	6
Thu Apr 15 01:38:47 2021	1618450727	7	7	14	6
Thu Apr 15 01:38:47 2021	1618450727	7	7	14	5
Thu Apr 15 01:38:47 2021	1618450727	7	7	14	5
Thu Apr 15 01:38:47 2021	1618450727	7	7	14	5
Thu Apr 15 01:38:47 2021	1618450727	8	7	15	5
Thu Apr 15 01:38:47 2021	1618450727	8	7	15	7
Thu Apr 15 01:38:47 2021	1618450727	8	8	15	7
Thu Apr 15 01:38:47 2021	1618450727	8	8	15	7
Thu Apr 15 01:38:47 2021	1618450727	8	8	15	7
Thu Apr 15 01:38:47 2021	1618450727	8	8	15	7
Thu Apr 15 01:38:47 2021	1618450727	8	8	15	7
Thu Apr 15 01:38:47 2021	1618450727	8	8	16	7
Thu Apr 15 01:38:47 2021	1618450727	8	9	17	7
Thu Apr 15 01:38:47 2021	1618450727	8	9	17	7
Thu Apr 15 01:38:47 2021	1618450727	8	9	17	7
Thu Apr 15 01:38:47 2021	1618450727	8	9	17	9
Thu Apr 15 01:38:47 2021	1618450727	8	9	17	9
Thu Apr 15 01:38:47 2021	1618450727	8	9	17	9
Thu Apr 15 01:38:47 2021	1618450727	8	9	17	9
Thu Apr 15 01:38:47 2021	1618450727	8	9	17	9
Thu Apr 15 01:38:47 2021	1618450727	8	9	17	9
Thu Apr 15 01:38:47 2021	1618450727	8	9	17	9
Thu Apr 15 01:38:47 2021	1618450727	8	11	18	11
Thu Apr 15 01:38:47 2021	1618450727	8	11	18	11
Thu Apr 15 01:38:47 2021	1618450727	8	11	18	11
Thu Apr 15 01:38:47 2021	1618450727	8	11	18	11
Thu Apr 15 01:38:47 2021	1618450727	8	11	18	11
Thu Apr 15 01:38:47 2021	1618450727	8	11	18	11
Thu Apr 15 01:38:47 2021	1618450727	8	11	19	11
Thu Apr 15 01:38:47 2021	1618450727	8	11	19	11
Thu Apr 15 01:38:47 2021	1618450727	8	12	20	12
Thu Apr 15 01:38:47 2021	1618450727	8	12	20	12
Thu Apr 15 01:38:47 2021	1618450727	8	12	20	12
Thu Apr 15 01:38:47 2021	1618450727	8	13	20	12
Thu Apr 15 01:38:47 2021	1618450727	8	13	21	13
Thu Apr 15 01:38:47 2021	1618450727	8	13	21	13
Thu Apr 15 01:38:47 2021	1618450727	8	13	21	13
Thu Apr 15 01:38:47 2021	1618450727	8	14	21	13
Thu Apr 15 01:38:47 2021	1618450727	8	14	21	14
Thu Apr 15 01:38:47 2021	1618450727	8	14	22	14
Thu Apr 15 01:38:47 2021	1618450727	8	14	22	14
Thu Apr 15 01:38:47 2021	1618450727	8	14	22	14
Thu Apr 15 01:38:47 2021	1618450727	8	15	22	14
Thu Apr 15 01:38:47 2021	1618450727	8	15	23	15
Thu Apr 15 01:38:47 2021	1618450727	8	16	23	15
Thu Apr 15 01:38:47 2021	1618450727	8	16	23	15
Thu Apr 15 01:38:47 2021	1618450727	8	16	23	15
Thu Apr 15 01:38:47 2021	1618450727	8	16	24	16
Thu Apr 15 01:38:47 2021	1618450727	8	16	24	16
Thu Apr 15 01:38:47 2021	1618450727	8	17	24	16
Thu Apr 15 01:38:47 2021	1618450727	7	17	25	17
Thu Apr 15 01:38:47 2021	1618450727	7	17	25	17
Thu Apr 15 01:38:47 2021	1618450727	7	17	25	17
Thu Apr 15 01:38:47 2021	1618450727	7	18	25	17
Thu Apr 15 01:38:47 2021	1618450727	7	18	26	18
Thu Apr 15 01:38:47 2021	1618450727	7	18	26	18
Thu Apr 15 01:38:47 2021	1618450727	7	18	26	18
Thu Apr 15 01:38:47 2021	1618450727	7	19	26	18
Thu Apr 15 01:38:47 2021	1618450727	7	19	26	18
Thu Apr 15 01:38:47 2021	1618450727	7	19	27	19
Thu Apr 15 01:38:47 2021	1618450727	7	19	27	19
Thu Apr 15 01:38:47 2021	1618450727	7	20	27	19
Thu Apr 15 01:38:47 2021	1618450727	7	20	27	19
Thu Apr 15 01:38:47 2021	1618450727	7	20	28	19
Thu Apr 15 01:38:47 2021	1618450727	7	20	28	19
Thu Apr 15 01:38:47 2021	1618450727	7	20	28	20
Thu Apr 15 01:38:47 2021	1618450727	7	20	28	20
Thu Apr 15 01:38:47 2021	1618450727	7	21	28	21
Thu Apr 15 01:38:47 2021	1618450727	7	22	29	21
Thu Apr 15 01:38:47 2021	1618450727	7	22	29	21
Thu Apr 15 01:38:47 2021	1618450727	7	22	29	21
Thu Apr 15 01:38:47 2021	1618450727	7	22	29	21
Thu Apr 15 01:38:47 2021	1618450727	7	22	29	21
Thu Apr 15 01:38:47 2021	1618450727	7	22	30	21
Thu Apr 15 01:38:47 2021	1618450727	7	23	30	22
Thu Apr 15 01:38:47 2021	1618450727	7	23	30	23
Thu Apr 15 01:38:47 2021	1618450727	7	23	31	23
Thu Apr 15 01:38:47 2021	1618450727	7	24	31	23
Thu Apr 15 01:38:47 2021	1618450727	7	24	31	23
Thu Apr 15 01:38:47 2021	1618450727	7	24	31	23
Thu Apr 15 01:38:47 2021	1618450727	7	24	31	23
Thu Apr 15 01:38:47 2021	1618450727	7	24	32	23
Thu Apr 15 01:38:47 2021	1618450727	7	24	32	24
Thu Apr 15 01:38:47 2021	1618450727	7	25	32	24
Thu Apr 15 01:38:47 2021	1618450727	7	25	33	25
Thu Apr 15 01:38:47 2021	1618450727	7	25	33	25
Thu Apr 15 01:38:47 2021	1618450727	7	26	33	25
Thu Apr 15 01:38:47 2021	1618450727	7	26	33	25
Thu Apr 15 01:38:47 2021	1618450727	7	26	33	25
Thu Apr 15 01:38:47 2021	1618450727	7	26	33	26
Thu Apr 15 01:38:47 2021	1618450727	7	26	34	26
Thu Apr 15 01:38:47 2021	1618450727	7	26	34	26
Thu Apr 15 01:38:47 2021	1618450727	7	27	34	27
Thu Apr 15 01:38:47 2021	1618450727	7	27	35	27
Thu Apr 15 01:38:47 2021	1618450727	7	27	35	27
Thu Apr 15 01:38:47 2021	1618450727	7	27	35	27
Thu Apr 15 01:38:47 2021	1618450727	7	28	35	27
Thu Apr 15 01:38:47 2021	1618450727	7	28	35	27
Thu Apr 15 01:38:47 2021	1618450727	7	28	35	28
Thu Apr 15 01:38:47 2021	1618450727	7	29	36	28
Thu Apr 15 01:38:47 2021	1618450727	7	29	36	29
Thu Apr 15 01:38:47 2021	1618450727	7	29	36	29
Thu Apr 15 01:38:47 2021	1618450727	7	29	37	29
Thu Apr 15 01:38:47 2021	1618450727	7	30	37	29
Thu Apr 15 01:38:47 2021	1618450727	7	30	37	29
Thu Apr 15 01:38:47 2021	1618450727	7	30	37	29
Thu Apr 15 01:38:47 2021	1618450727	7	30	38	28
Thu Apr 15 01:38:47 2021	1618450727	7	31	38	30
Thu Apr 15 01:38:47 2021	1618450727	7	31	38	30
Thu Apr 15 01:38:47 2021	1618450727	7	31	38	31
Thu Apr 15 01:38:47 2021	1618450727	7	31	39	31
Thu Apr 15 01:38:47 2021	1618450727	7	31	39	31
Thu Apr 15 01:38:47 2021	1618450727	7	31	39	31
Thu Apr 15 01:38:47 2021	1618450727	7	31	39	31
Thu Apr 15 01:38:47 2021	1618450727	7	32	40	32
Thu Apr 15 01:38:47 2021	1618450727	7	32	40	32
Thu Apr 15 01:38:47 2021	1618450727	7	33	40	32
Thu Apr 15 01:38:47 2021	1618450727	7	33	40	32
Thu Apr 15 01:38:47 2021	1618450727	7	33	40	32
Thu Apr 15 01:38:47 2021	1618450727	7	33	40	32
Thu Apr 15 01:38:47 2021	1618450727	7	33	41	32
Thu Apr 15 01:38:47 2021	1618450727	7	33	41	33
Thu Apr 15 01:38:47 2021	1618450727	7	34	41	33
Thu Apr 15 01:38:47 2021	1618450727	7	34	42	34
Thu Apr 15 01:38:47 2021	1618450727	7	34	42	34
Thu Apr 15 01:38:47 2021	1618450727	7	34	42	34
Thu Apr 15 01:38:47 2021	1618450727	7	34	42	34
Thu Apr 15 01:38:47 2021	1618450727	7	35	42	34
Thu Apr 15 01:38:47 2021	1618450727	7	35	42	34
Thu Apr 15 01:38:47 2021	1618450727	7	35	42	34
Thu Apr 15 01:38:47 2021	1618450727	7	36	43	36
Thu Apr 15 01:38:47 2021	1618450727	7	36	44	36
Thu Apr 15 01:38:47 2021	1618450727	7	36	44	36
Thu Apr 15 01:38:47 2021	1618450727	7	36	44	36
Thu Apr 15 01:38:47 2021	1618450727	7	37	44	36
Thu Apr 15 01:38:47 2021	1618450727	7	37	44	37
Thu Apr 15 01:38:47 2021	1618450727	7	37	44	37
Thu Apr 15 01:38:47 2021	1618450727	7	38	45	36
Thu Apr 15 01:38:47 2021	1618450727	7	38	45	37
Thu Apr 15 01:38:47 2021	1618450727	7	38	45	38
Thu Apr 15 01:38:47 2021	1618450727	7	38	45	38
Thu Apr 15 01:38:47 2021	1618450727	7	38	45	38
Thu Apr 15 01:38:47 2021	1618450727	7	38	45	37
