starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 15 02:08:56 2021	1618452536	0	5	6	1
Thu Apr 15 02:08:56 2021	1618452536	5	14	19	13
Thu Apr 15 02:08:56 2021	1618452536	5	13	19	13
Thu Apr 15 02:08:56 2021	1618452536	6	13	19	13
Thu Apr 15 02:08:56 2021	1618452536	6	13	19	12
Thu Apr 15 02:08:56 2021	1618452536	6	13	19	12
Thu Apr 15 02:08:56 2021	1618452536	6	12	19	12
Thu Apr 15 02:08:56 2021	1618452536	7	12	19	11
Thu Apr 15 02:08:56 2021	1618452536	7	12	19	11
Thu Apr 15 02:08:56 2021	1618452536	7	24	31	19
Thu Apr 15 02:08:56 2021	1618452536	7	25	32	21
Thu Apr 15 02:08:56 2021	1618452536	7	25	33	18
Thu Apr 15 02:08:56 2021	1618452536	7	26	33	20
Thu Apr 15 02:08:56 2021	1618452536	7	26	33	21
Thu Apr 15 02:08:56 2021	1618452536	7	27	34	19
Thu Apr 15 02:08:56 2021	1618452536	7	27	34	21
Thu Apr 15 02:08:56 2021	1618452536	9	25	35	21
Thu Apr 15 02:08:56 2021	1618452536	7	27	35	23
Thu Apr 15 02:08:56 2021	1618452536	9	25	35	20
Thu Apr 15 02:08:56 2021	1618452536	7	27	35	25
Thu Apr 15 02:08:56 2021	1618452536	9	26	36	18
Thu Apr 15 02:08:56 2021	1618452536	9	26	36	20
Thu Apr 15 02:08:56 2021	1618452536	7	28	36	23
Thu Apr 15 02:08:56 2021	1618452536	9	26	36	21
Thu Apr 15 02:08:56 2021	1618452536	9	27	36	21
Thu Apr 15 02:08:56 2021	1618452536	7	29	36	23
Thu Apr 15 02:08:56 2021	1618452536	7	29	36	23
Thu Apr 15 02:08:56 2021	1618452536	7	30	37	23
Thu Apr 15 02:08:56 2021	1618452536	7	30	37	24
Thu Apr 15 02:08:56 2021	1618452536	7	30	38	23
Thu Apr 15 02:08:56 2021	1618452536	7	30	38	24
Thu Apr 15 02:08:56 2021	1618452536	9	29	39	22
Thu Apr 15 02:08:56 2021	1618452536	9	29	39	23
Thu Apr 15 02:08:56 2021	1618452536	7	32	40	26
Thu Apr 15 02:08:56 2021	1618452536	9	30	40	23
Thu Apr 15 02:08:56 2021	1618452536	10	30	40	23
Thu Apr 15 02:08:56 2021	1618452536	7	32	40	24
Thu Apr 15 02:08:56 2021	1618452536	9	31	40	24
Thu Apr 15 02:08:56 2021	1618452536	9	31	40	24
Thu Apr 15 02:08:56 2021	1618452536	10	31	40	25
Thu Apr 15 02:08:56 2021	1618452536	7	33	40	25
Thu Apr 15 02:08:56 2021	1618452536	10	31	40	24
Thu Apr 15 02:08:56 2021	1618452536	9	32	41	26
Thu Apr 15 02:08:56 2021	1618452536	7	34	41	26
Thu Apr 15 02:08:56 2021	1618452536	10	32	41	25
Thu Apr 15 02:08:56 2021	1618452536	9	32	41	25
Thu Apr 15 02:08:56 2021	1618452536	7	34	42	27
Thu Apr 15 02:08:56 2021	1618452536	7	34	42	29
Thu Apr 15 02:08:56 2021	1618452536	9	32	42	27
Thu Apr 15 02:08:56 2021	1618452536	9	33	42	26
Thu Apr 15 02:08:56 2021	1618452536	9	33	42	25
Thu Apr 15 02:08:56 2021	1618452536	7	35	43	28
Thu Apr 15 02:08:56 2021	1618452536	10	33	43	27
Thu Apr 15 02:08:56 2021	1618452536	9	34	44	27
Thu Apr 15 02:08:56 2021	1618452536	9	34	44	27
Thu Apr 15 02:08:56 2021	1618452536	10	34	44	30
Thu Apr 15 02:08:56 2021	1618452536	9	35	44	29
Thu Apr 15 02:08:56 2021	1618452536	9	35	44	28
Thu Apr 15 02:08:56 2021	1618452536	10	35	45	30
Thu Apr 15 02:08:56 2021	1618452536	9	35	45	31
Thu Apr 15 02:08:56 2021	1618452536	9	35	45	29
Thu Apr 15 02:08:56 2021	1618452536	10	35	45	30
Thu Apr 15 02:08:56 2021	1618452536	9	36	45	29
Thu Apr 15 02:08:56 2021	1618452536	10	36	45	31
Thu Apr 15 02:08:56 2021	1618452536	9	36	45	30
Thu Apr 15 02:08:56 2021	1618452536	10	36	45	30
Thu Apr 15 02:08:56 2021	1618452536	9	36	45	30
Thu Apr 15 02:08:56 2021	1618452536	9	37	46	32
Thu Apr 15 02:08:56 2021	1618452536	9	37	46	31
Thu Apr 15 02:08:56 2021	1618452536	10	37	47	32
Thu Apr 15 02:08:56 2021	1618452536	9	38	47	32
Thu Apr 15 02:08:56 2021	1618452536	10	38	47	32
Thu Apr 15 02:08:56 2021	1618452536	10	38	48	33
Thu Apr 15 02:08:56 2021	1618452536	9	38	48	32
Thu Apr 15 02:08:56 2021	1618452536	10	39	49	35
Thu Apr 15 02:08:56 2021	1618452536	10	39	49	35
Thu Apr 15 02:08:56 2021	1618452536	7	43	50	38
Thu Apr 15 02:08:56 2021	1618452536	9	41	50	34
Thu Apr 15 02:08:56 2021	1618452536	9	41	51	27
Thu Apr 15 02:08:56 2021	1618452536	10	41	51	35
Thu Apr 15 02:08:56 2021	1618452536	10	41	51	37
Thu Apr 15 02:08:56 2021	1618452536	10	41	51	35
Thu Apr 15 02:08:56 2021	1618452536	10	42	52	36
Thu Apr 15 02:08:56 2021	1618452536	10	43	52	37
Thu Apr 15 02:08:56 2021	1618452536	10	43	52	37
Thu Apr 15 02:08:56 2021	1618452536	10	43	53	39
Thu Apr 15 02:08:56 2021	1618452536	9	44	53	37
Thu Apr 15 02:08:56 2021	1618452536	7	48	55	38
Thu Apr 15 02:08:56 2021	1618452536	10	46	55	40
Thu Apr 15 02:08:56 2021	1618452536	10	46	56	39
Thu Apr 15 02:08:56 2021	1618452536	9	49	59	42
Thu Apr 15 02:08:56 2021	1618452536	10	49	59	44
Thu Apr 15 02:08:56 2021	1618452536	10	49	59	45
Thu Apr 15 02:08:56 2021	1618452536	10	50	60	46
Thu Apr 15 02:08:56 2021	1618452536	10	51	60	45
Thu Apr 15 02:08:56 2021	1618452536	10	51	61	45
Thu Apr 15 02:08:56 2021	1618452536	10	51	61	46
Thu Apr 15 02:08:56 2021	1618452536	10	51	61	46
Thu Apr 15 02:08:56 2021	1618452536	10	51	61	46
Thu Apr 15 02:08:56 2021	1618452536	10	52	62	46
Thu Apr 15 02:08:56 2021	1618452536	10	52	62	47
Thu Apr 15 02:08:56 2021	1618452536	7	55	63	50
Thu Apr 15 02:08:56 2021	1618452536	10	53	63	47
Thu Apr 15 02:08:56 2021	1618452536	10	54	63	47
Thu Apr 15 02:08:56 2021	1618452536	10	54	64	48
Thu Apr 15 02:08:56 2021	1618452536	10	54	64	45
Thu Apr 15 02:08:56 2021	1618452536	10	55	64	48
Thu Apr 15 02:08:56 2021	1618452536	10	56	65	50
Thu Apr 15 02:08:56 2021	1618452536	10	56	65	49
Thu Apr 15 02:08:56 2021	1618452536	10	56	65	49
Thu Apr 15 02:08:56 2021	1618452536	10	56	66	49
Thu Apr 15 02:08:56 2021	1618452536	10	57	67	51
Thu Apr 15 02:08:56 2021	1618452536	10	57	67	50
Thu Apr 15 02:08:56 2021	1618452536	10	57	67	52
