starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 15 02:09:20 2021	1618452560	0	5	5	0
Thu Apr 15 02:09:20 2021	1618452560	5	14	19	14
Thu Apr 15 02:09:20 2021	1618452560	5	14	19	13
Thu Apr 15 02:09:20 2021	1618452560	6	14	19	13
Thu Apr 15 02:09:20 2021	1618452560	6	13	19	13
Thu Apr 15 02:09:20 2021	1618452560	6	13	19	13
Thu Apr 15 02:09:20 2021	1618452560	6	13	19	12
Thu Apr 15 02:09:20 2021	1618452560	7	12	19	12
Thu Apr 15 02:09:20 2021	1618452560	7	12	19	12
Thu Apr 15 02:09:20 2021	1618452560	7	27	34	20
Thu Apr 15 02:09:20 2021	1618452560	9	26	36	21
Thu Apr 15 02:09:20 2021	1618452560	7	28	36	20
Thu Apr 15 02:09:20 2021	1618452560	9	27	36	18
Thu Apr 15 02:09:20 2021	1618452560	7	29	36	21
Thu Apr 15 02:09:20 2021	1618452560	7	29	37	23
Thu Apr 15 02:09:20 2021	1618452560	7	30	37	20
Thu Apr 15 02:09:20 2021	1618452560	7	30	37	23
Thu Apr 15 02:09:20 2021	1618452560	7	30	37	23
Thu Apr 15 02:09:20 2021	1618452560	7	30	38	20
Thu Apr 15 02:09:20 2021	1618452560	7	31	38	21
Thu Apr 15 02:09:20 2021	1618452560	9	29	38	22
Thu Apr 15 02:09:20 2021	1618452560	7	31	38	22
Thu Apr 15 02:09:20 2021	1618452560	7	31	39	23
Thu Apr 15 02:09:20 2021	1618452560	7	31	39	22
Thu Apr 15 02:09:20 2021	1618452560	9	30	39	22
Thu Apr 15 02:09:20 2021	1618452560	9	30	39	23
Thu Apr 15 02:09:20 2021	1618452560	7	32	40	25
Thu Apr 15 02:09:20 2021	1618452560	9	31	40	23
Thu Apr 15 02:09:20 2021	1618452560	9	32	41	25
Thu Apr 15 02:09:20 2021	1618452560	7	34	41	19
Thu Apr 15 02:09:20 2021	1618452560	9	32	41	23
Thu Apr 15 02:09:20 2021	1618452560	9	33	42	21
Thu Apr 15 02:09:20 2021	1618452560	9	33	43	25
Thu Apr 15 02:09:20 2021	1618452560	7	35	43	26
Thu Apr 15 02:09:20 2021	1618452560	9	34	43	25
Thu Apr 15 02:09:20 2021	1618452560	7	36	43	26
