starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 15 02:08:44 2021	1618452524	0	5	5	0
Thu Apr 15 02:08:44 2021	1618452524	5	8	13	8
Thu Apr 15 02:08:44 2021	1618452524	5	8	13	8
Thu Apr 15 02:08:44 2021	1618452524	5	8	13	8
Thu Apr 15 02:08:44 2021	1618452524	5	8	13	8
Thu Apr 15 02:08:44 2021	1618452524	5	8	13	8
Thu Apr 15 02:08:44 2021	1618452524	5	8	14	8
Thu Apr 15 02:08:44 2021	1618452524	5	9	14	7
Thu Apr 15 02:08:44 2021	1618452524	5	9	14	7
Thu Apr 15 02:08:44 2021	1618452524	5	9	14	7
Thu Apr 15 02:08:44 2021	1618452524	5	9	14	7
Thu Apr 15 02:08:44 2021	1618452524	6	9	14	7
Thu Apr 15 02:08:44 2021	1618452524	6	9	14	7
Thu Apr 15 02:08:44 2021	1618452524	6	9	14	7
Thu Apr 15 02:08:44 2021	1618452524	6	9	14	7
Thu Apr 15 02:08:44 2021	1618452524	6	9	15	7
Thu Apr 15 02:08:44 2021	1618452524	6	9	15	6
Thu Apr 15 02:08:44 2021	1618452524	6	9	15	6
Thu Apr 15 02:08:44 2021	1618452524	6	9	15	6
Thu Apr 15 02:08:44 2021	1618452524	6	9	15	6
Thu Apr 15 02:08:44 2021	1618452524	7	9	15	6
Thu Apr 15 02:08:44 2021	1618452524	7	9	15	6
Thu Apr 15 02:08:44 2021	1618452524	7	8	15	6
Thu Apr 15 02:08:44 2021	1618452524	7	9	16	5
Thu Apr 15 02:08:44 2021	1618452524	7	8	16	5
Thu Apr 15 02:08:44 2021	1618452524	7	8	16	5
Thu Apr 15 02:08:44 2021	1618452524	7	8	16	5
Thu Apr 15 02:08:44 2021	1618452524	7	8	16	5
Thu Apr 15 02:08:44 2021	1618452524	7	8	16	5
Thu Apr 15 02:08:44 2021	1618452524	7	8	16	5
Thu Apr 15 02:08:44 2021	1618452524	7	8	16	5
Thu Apr 15 02:08:44 2021	1618452524	7	8	16	5
Thu Apr 15 02:08:44 2021	1618452524	7	8	16	5
Thu Apr 15 02:08:44 2021	1618452524	7	8	16	5
Thu Apr 15 02:08:44 2021	1618452524	7	9	17	5
Thu Apr 15 02:08:44 2021	1618452524	7	9	17	5
Thu Apr 15 02:08:44 2021	1618452524	7	9	17	4
Thu Apr 15 02:08:44 2021	1618452524	7	9	17	5
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	4
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	4
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	4
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	4
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	4
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	8	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	9	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	9	17	8
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	11	20	11
Thu Apr 15 02:08:44 2021	1618452524	9	12	20	12
Thu Apr 15 02:08:44 2021	1618452524	9	12	20	12
Thu Apr 15 02:08:44 2021	1618452524	9	12	20	12
Thu Apr 15 02:08:44 2021	1618452524	9	12	20	12
